factor_id,coverage_scope,public_geography_id,bridge_municipality,factor_municipality,factor_value,factor_match,coverage_status
age65,bridge_safe_2025_geography,11001,Aartselaar,Aartselaar,25.707657,true,matched_factor_source
age65,bridge_safe_2025_geography,11002,Antwerpen,Anvers,16.052792,true,matched_factor_source
age65,bridge_safe_2025_geography,11004,Boechout,Boechout,24.386786,true,matched_factor_source
age65,bridge_safe_2025_geography,11005,Boom,Boom,16.911286,true,matched_factor_source
age65,bridge_safe_2025_geography,11008,Brasschaat,Brasschaat,27.353422,true,matched_factor_source
age65,bridge_safe_2025_geography,11009,Brecht,Brecht,23.488864,true,matched_factor_source
age65,bridge_safe_2025_geography,11013,Edegem,Edegem,25.078066,true,matched_factor_source
age65,bridge_safe_2025_geography,11016,Essen,Essen,21.651162,true,matched_factor_source
age65,bridge_safe_2025_geography,11018,Hemiksem,Hemiksem,18.722926,true,matched_factor_source
age65,bridge_safe_2025_geography,11021,Hove,Hove,27.0,true,matched_factor_source
age65,bridge_safe_2025_geography,11022,Kalmthout,Kalmthout,24.861293,true,matched_factor_source
age65,bridge_safe_2025_geography,11023,Kapellen,Kapellen,25.682866,true,matched_factor_source
age65,bridge_safe_2025_geography,11024,Kontich,Kontich,23.467617,true,matched_factor_source
age65,bridge_safe_2025_geography,11025,Lint,Lint,23.564426,true,matched_factor_source
age65,bridge_safe_2025_geography,11029,Mortsel,Mortsel,20.147621,true,matched_factor_source
age65,bridge_safe_2025_geography,11030,Niel,Niel,17.524188,true,matched_factor_source
age65,bridge_safe_2025_geography,11035,Ranst,Ranst,25.016359,true,matched_factor_source
age65,bridge_safe_2025_geography,11037,Rumst,Rumst,22.435609,true,matched_factor_source
age65,bridge_safe_2025_geography,11038,Schelle,Schelle,22.764042,true,matched_factor_source
age65,bridge_safe_2025_geography,11039,Schilde,Schilde,27.197695,true,matched_factor_source
age65,bridge_safe_2025_geography,11040,Schoten,Schoten,24.167121,true,matched_factor_source
age65,bridge_safe_2025_geography,11044,Stabroek,Stabroek,22.885078,true,matched_factor_source
age65,bridge_safe_2025_geography,11050,Wijnegem,Wijnegem,24.563207,true,matched_factor_source
age65,bridge_safe_2025_geography,11052,Wommelgem,Wommelgem,23.127107,true,matched_factor_source
age65,bridge_safe_2025_geography,11053,Wuustwezel,Wuustwezel,22.080175,true,matched_factor_source
age65,bridge_safe_2025_geography,11054,Zandhoven,Zandhoven,27.06778,true,matched_factor_source
age65,bridge_safe_2025_geography,11055,Zoersel,Zoersel,27.464152,true,matched_factor_source
age65,bridge_safe_2025_geography,11057,Malle,Malle,23.849656,true,matched_factor_source
age65,bridge_safe_2025_geography,12002,Berlaar,Berlaar,23.940416,true,matched_factor_source
age65,bridge_safe_2025_geography,12005,Bonheiden,Bonheiden,25.99809,true,matched_factor_source
age65,bridge_safe_2025_geography,12007,Bornem,Bornem,24.909327,true,matched_factor_source
age65,bridge_safe_2025_geography,12009,Duffel,Duffel,22.336977,true,matched_factor_source
age65,bridge_safe_2025_geography,12014,Heist-op-den-Berg,Heist-op-den-Berg,24.360428,true,matched_factor_source
age65,bridge_safe_2025_geography,12021,Lier,Lierre,22.698531,true,matched_factor_source
age65,bridge_safe_2025_geography,12025,Mechelen,Malines,18.296718,true,matched_factor_source
age65,bridge_safe_2025_geography,12026,Nijlen,Nijlen,22.955488,true,matched_factor_source
age65,bridge_safe_2025_geography,12029,Putte,Putte,24.136854,true,matched_factor_source
age65,bridge_safe_2025_geography,12035,Sint-Katelijne-Waver,Sint-Katelijne-Waver,22.67858,true,matched_factor_source
age65,bridge_safe_2025_geography,12040,Willebroek,Willebroek,18.258825,true,matched_factor_source
age65,bridge_safe_2025_geography,12041,Puurs-Saint-Amands,Puurs-Sint-Amands,22.472525,true,matched_factor_source
age65,bridge_safe_2025_geography,13001,Arendonk,Arendonk,22.054223,true,matched_factor_source
age65,bridge_safe_2025_geography,13002,Baarle-Hertog,Baerle-Duc,21.301966,true,matched_factor_source
age65,bridge_safe_2025_geography,13003,Balen,Balen,21.450075,true,matched_factor_source
age65,bridge_safe_2025_geography,13004,Beerse,Beerse,21.363152,true,matched_factor_source
age65,bridge_safe_2025_geography,13006,Dessel,Dessel,21.617113,true,matched_factor_source
age65,bridge_safe_2025_geography,13008,Geel,Geel,22.178195,true,matched_factor_source
age65,bridge_safe_2025_geography,13010,Grobbendonk,Grobbendonk,25.361819,true,matched_factor_source
age65,bridge_safe_2025_geography,13011,Herentals,Herentals,24.520797,true,matched_factor_source
age65,bridge_safe_2025_geography,13012,Herenthout,Herenthout,25.264159,true,matched_factor_source
age65,bridge_safe_2025_geography,13013,Herselt,Herselt,25.932192,true,matched_factor_source
age65,bridge_safe_2025_geography,13014,Hoogstraten,Hoogstraten,21.948946,true,matched_factor_source
age65,bridge_safe_2025_geography,13016,Hulshout,Hulshout,22.944048,true,matched_factor_source
age65,bridge_safe_2025_geography,13017,Kasterlee,Kasterlee,24.618099,true,matched_factor_source
age65,bridge_safe_2025_geography,13019,Lille,Lille,23.417758,true,matched_factor_source
age65,bridge_safe_2025_geography,13021,Meerhout,Meerhout,24.071394,true,matched_factor_source
age65,bridge_safe_2025_geography,13023,Merksplas,Merksplas,23.066637,true,matched_factor_source
age65,bridge_safe_2025_geography,13025,Mol,Mol,22.960328,true,matched_factor_source
age65,bridge_safe_2025_geography,13029,Olen,Olen,22.564697,true,matched_factor_source
age65,bridge_safe_2025_geography,13031,Oud-Turnhout,Oud-Turnhout,24.955624,true,matched_factor_source
age65,bridge_safe_2025_geography,13035,Ravels,Ravels,22.102426,true,matched_factor_source
age65,bridge_safe_2025_geography,13036,Retie,Retie,22.797284,true,matched_factor_source
age65,bridge_safe_2025_geography,13037,Rijkevorsel,Rijkevorsel,20.371256,true,matched_factor_source
age65,bridge_safe_2025_geography,13040,Turnhout,Turnhout,20.360899,true,matched_factor_source
age65,bridge_safe_2025_geography,13044,Vorselaar,Vorselaar,24.540715,true,matched_factor_source
age65,bridge_safe_2025_geography,13046,Vosselaar,Vosselaar,21.796698,true,matched_factor_source
age65,bridge_safe_2025_geography,13049,Westerlo,Westerlo,24.76383,true,matched_factor_source
age65,bridge_safe_2025_geography,13053,Laakdal,Laakdal,23.579145,true,matched_factor_source
age65,bridge_safe_2025_geography,21001,Anderlecht,Anderlecht,12.260031,true,matched_factor_source
age65,bridge_safe_2025_geography,21002,Auderghem,Auderghem,16.755938,true,matched_factor_source
age65,bridge_safe_2025_geography,21003,Berchem-Sainte-Agathe,Berchem-Sainte-Agathe,16.074063,true,matched_factor_source
age65,bridge_safe_2025_geography,21004,Bruxelles,Bruxelles,11.399076,true,matched_factor_source
age65,bridge_safe_2025_geography,21005,Etterbeek,Etterbeek,11.219227,true,matched_factor_source
age65,bridge_safe_2025_geography,21006,Evere,Evere,14.802975,true,matched_factor_source
age65,bridge_safe_2025_geography,21007,Forest,Forest,13.036466,true,matched_factor_source
age65,bridge_safe_2025_geography,21008,Ganshoren,Ganshoren,16.28386,true,matched_factor_source
age65,bridge_safe_2025_geography,21009,Ixelles,Ixelles,11.587896,true,matched_factor_source
age65,bridge_safe_2025_geography,21010,Jette,Jette,14.807657,true,matched_factor_source
age65,bridge_safe_2025_geography,21011,Koekelberg,Koekelberg,11.223315,true,matched_factor_source
age65,bridge_safe_2025_geography,21012,Molenbeek-Saint-Jean,Molenbeek-Saint-Jean,11.952932,true,matched_factor_source
age65,bridge_safe_2025_geography,21013,Saint-Gilles,Saint-Gilles,10.534088,true,matched_factor_source
age65,bridge_safe_2025_geography,21014,Saint-Josse-ten-Noode,Saint-Josse-ten-Noode,9.621153,true,matched_factor_source
age65,bridge_safe_2025_geography,21015,Schaerbeek,Schaerbeek,10.761305,true,matched_factor_source
age65,bridge_safe_2025_geography,21016,Uccle,Uccle,18.951889,true,matched_factor_source
age65,bridge_safe_2025_geography,21017,Watermael-Boitsfort,Watermael-Boitsfort,21.194254,true,matched_factor_source
age65,bridge_safe_2025_geography,21018,Woluwe-Saint-Lambert,Woluwe-Saint-Lambert,16.797586,true,matched_factor_source
age65,bridge_safe_2025_geography,21019,Woluwe-Saint-Pierre,Woluwe-Saint-Pierre,19.550815,true,matched_factor_source
age65,bridge_safe_2025_geography,23002,Asse,Asse,18.576823,true,matched_factor_source
age65,bridge_safe_2025_geography,23003,Beersel,Beersel,19.156716,true,matched_factor_source
age65,bridge_safe_2025_geography,23009,Bever,Biévène,19.789381,true,matched_factor_source
age65,bridge_safe_2025_geography,23016,Dilbeek,Dilbeek,21.092416,true,matched_factor_source
age65,bridge_safe_2025_geography,23025,Grimbergen,Grimbergen,19.349979,true,matched_factor_source
age65,bridge_safe_2025_geography,23027,Halle,Hal,19.827966,true,matched_factor_source
age65,bridge_safe_2025_geography,23033,Hoeilaart,Hoeilaart,20.59717,true,matched_factor_source
age65,bridge_safe_2025_geography,23038,Kampenhout,Kampenhout,20.206349,true,matched_factor_source
age65,bridge_safe_2025_geography,23039,Kapelle-op-den-Bos,Kapelle-op-den-Bos,22.857433,true,matched_factor_source
age65,bridge_safe_2025_geography,23044,Liedekerke,Liedekerke,21.781336,true,matched_factor_source
age65,bridge_safe_2025_geography,23045,Londerzeel,Londerzeel,22.01245,true,matched_factor_source
age65,bridge_safe_2025_geography,23047,Machelen,Machelen,14.174701,true,matched_factor_source
age65,bridge_safe_2025_geography,23050,Meise,Meise,22.625291,true,matched_factor_source
age65,bridge_safe_2025_geography,23052,Merchtem,Merchtem,21.481562,true,matched_factor_source
age65,bridge_safe_2025_geography,23060,Opwijk,Opwijk,20.722446,true,matched_factor_source
age65,bridge_safe_2025_geography,23062,Overijse,Overijse,20.387872,true,matched_factor_source
age65,bridge_safe_2025_geography,23064,Pepingen,Pepingen,23.845139,true,matched_factor_source
age65,bridge_safe_2025_geography,23077,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw,18.537309,true,matched_factor_source
age65,bridge_safe_2025_geography,23081,Steenokkerzeel,Steenokkerzeel,21.017508,true,matched_factor_source
age65,bridge_safe_2025_geography,23086,Ternat,Ternat,21.586429,true,matched_factor_source
age65,bridge_safe_2025_geography,23088,Vilvoorde,Vilvorde,14.541549,true,matched_factor_source
age65,bridge_safe_2025_geography,23094,Zaventem,Zaventem,16.394797,true,matched_factor_source
age65,bridge_safe_2025_geography,23096,Zemst,Zemst,22.566012,true,matched_factor_source
age65,bridge_safe_2025_geography,23097,Roosdaal,Roosdaal,21.64762,true,matched_factor_source
age65,bridge_safe_2025_geography,23104,Lennik,Lennik,24.595745,true,matched_factor_source
age65,bridge_safe_2025_geography,23105,Affligem,Affligem,20.791367,true,matched_factor_source
age65,bridge_safe_2025_geography,23106,Pajottegem,Pajottegem,22.603035,true,matched_factor_source
age65,bridge_safe_2025_geography,24001,Aarschot,Aarschot,24.226869,true,matched_factor_source
age65,bridge_safe_2025_geography,24007,Begijnendijk,Begijnendijk,25.028121,true,matched_factor_source
age65,bridge_safe_2025_geography,24008,Bekkevoort,Bekkevoort,21.507538,true,matched_factor_source
age65,bridge_safe_2025_geography,24009,Bertem,Bertem,21.262267,true,matched_factor_source
age65,bridge_safe_2025_geography,24011,Bierbeek,Bierbeek,22.505949,true,matched_factor_source
age65,bridge_safe_2025_geography,24014,Boortmeerbeek,Boortmeerbeek,22.317245,true,matched_factor_source
age65,bridge_safe_2025_geography,24016,Boutersem,Boutersem,21.260659,true,matched_factor_source
age65,bridge_safe_2025_geography,24020,Diest,Diest,25.0,true,matched_factor_source
age65,bridge_safe_2025_geography,24028,Geetbets,Geetbets,22.11127,true,matched_factor_source
age65,bridge_safe_2025_geography,24033,Haacht,Haacht,24.097148,true,matched_factor_source
age65,bridge_safe_2025_geography,24038,Herent,Herent,21.522738,true,matched_factor_source
age65,bridge_safe_2025_geography,24041,Hoegaarden,Hoegaarden,20.424743,true,matched_factor_source
age65,bridge_safe_2025_geography,24043,Holsbeek,Holsbeek,21.987747,true,matched_factor_source
age65,bridge_safe_2025_geography,24045,Huldenberg,Huldenberg,22.009475,true,matched_factor_source
age65,bridge_safe_2025_geography,24048,Keerbergen,Keerbergen,26.920503,true,matched_factor_source
age65,bridge_safe_2025_geography,24054,Kortenaken,Kortenaken,24.074074,true,matched_factor_source
age65,bridge_safe_2025_geography,24055,Kortenberg,Kortenberg,20.676779,true,matched_factor_source
age65,bridge_safe_2025_geography,24059,Landen,Landen,22.748815,true,matched_factor_source
age65,bridge_safe_2025_geography,24062,Leuven,Louvain,17.157854,true,matched_factor_source
age65,bridge_safe_2025_geography,24066,Lubbeek,Lubbeek,25.29758,true,matched_factor_source
age65,bridge_safe_2025_geography,24086,Oud-Heverlee,Oud-Heverlee,24.10198,true,matched_factor_source
age65,bridge_safe_2025_geography,24094,Rotselaar,Rotselaar,21.985736,true,matched_factor_source
age65,bridge_safe_2025_geography,24104,Tervuren,Tervuren,19.276069,true,matched_factor_source
age65,bridge_safe_2025_geography,24107,Tienen,Tirlemont,22.758509,true,matched_factor_source
age65,bridge_safe_2025_geography,24109,Tremelo,Tremelo,26.307572,true,matched_factor_source
age65,bridge_safe_2025_geography,24130,Zoutleeuw,Léau,25.269733,true,matched_factor_source
age65,bridge_safe_2025_geography,24133,Linter,Linter,23.40081,true,matched_factor_source
age65,bridge_safe_2025_geography,24134,Scherpenheuvel-Zichem,Montaigu-Zichem,25.581774,true,matched_factor_source
age65,bridge_safe_2025_geography,24135,Tielt-Winge,Tielt-Winge,23.202417,true,matched_factor_source
age65,bridge_safe_2025_geography,24137,Glabbeek,Glabbeek,23.671233,true,matched_factor_source
age65,bridge_safe_2025_geography,25005,Beauvechain,Beauvechain,20.957506,true,matched_factor_source
age65,bridge_safe_2025_geography,25014,Braine-l'Alleud,Braine-l’Alleud,22.484381,true,matched_factor_source
age65,bridge_safe_2025_geography,25015,Braine-le-Chateau,Braine-le-Château,20.433553,true,matched_factor_source
age65,bridge_safe_2025_geography,25018,Chaumont-Gistoux,Chaumont-Gistoux,22.394697,true,matched_factor_source
age65,bridge_safe_2025_geography,25023,Court-Saint-Etienne,Court-Saint-Etienne,20.142586,true,matched_factor_source
age65,bridge_safe_2025_geography,25031,Genappe,Genappe,19.123873,true,matched_factor_source
age65,bridge_safe_2025_geography,25037,Grez-Doiceau,Grez-Doiceau,22.079863,true,matched_factor_source
age65,bridge_safe_2025_geography,25043,Incourt,Incourt,18.756567,true,matched_factor_source
age65,bridge_safe_2025_geography,25044,Ittre,Ittre,21.407921,true,matched_factor_source
age65,bridge_safe_2025_geography,25048,Jodoigne,Jodoigne,20.452428,true,matched_factor_source
age65,bridge_safe_2025_geography,25050,La Hulpe,La Hulpe,24.446213,true,matched_factor_source
age65,bridge_safe_2025_geography,25068,Mont-Saint-Guibert,Mont-Saint-Guibert,18.346466,true,matched_factor_source
age65,bridge_safe_2025_geography,25072,Nivelles,Nivelles,22.872947,true,matched_factor_source
age65,bridge_safe_2025_geography,25084,Perwez,Perwez,19.847095,true,matched_factor_source
age65,bridge_safe_2025_geography,25091,Rixensart,Rixensart,24.289383,true,matched_factor_source
age65,bridge_safe_2025_geography,25105,Tubize,Tubize,18.803154,true,matched_factor_source
age65,bridge_safe_2025_geography,25107,Villers-la-Ville,Villers-la-Ville,19.395694,true,matched_factor_source
age65,bridge_safe_2025_geography,25110,Waterloo,Waterloo,25.61706,true,matched_factor_source
age65,bridge_safe_2025_geography,25112,Wavre,Wavre,23.081013,true,matched_factor_source
age65,bridge_safe_2025_geography,25117,Chastre,Chastre,19.636689,true,matched_factor_source
age65,bridge_safe_2025_geography,25118,Helecine,Hélécine,16.93836,true,matched_factor_source
age65,bridge_safe_2025_geography,25119,Lasne,Lasne,24.549502,true,matched_factor_source
age65,bridge_safe_2025_geography,25120,Orp-Jauche,Orp-Jauche,19.158675,true,matched_factor_source
age65,bridge_safe_2025_geography,25121,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve,21.336769,true,matched_factor_source
age65,bridge_safe_2025_geography,25122,Ramillies,Ramillies,18.711794,true,matched_factor_source
age65,bridge_safe_2025_geography,25123,Rebecq,Rebecq,19.439003,true,matched_factor_source
age65,bridge_safe_2025_geography,25124,Walhain,Walhain,17.287867,true,matched_factor_source
age65,bridge_safe_2025_geography,31003,Beernem,Beernem,23.472511,true,matched_factor_source
age65,bridge_safe_2025_geography,31004,Blankenberge,Blankenberge,35.639555,true,matched_factor_source
age65,bridge_safe_2025_geography,31005,Brugge,Bruges,25.57738,true,matched_factor_source
age65,bridge_safe_2025_geography,31006,Damme,Damme,26.861585,true,matched_factor_source
age65,bridge_safe_2025_geography,31012,Jabbeke,Jabbeke,25.336891,true,matched_factor_source
age65,bridge_safe_2025_geography,31022,Oostkamp,Oostkamp,23.707576,true,matched_factor_source
age65,bridge_safe_2025_geography,31033,Torhout,Torhout,24.468186,true,matched_factor_source
age65,bridge_safe_2025_geography,31040,Zedelgem,Zedelgem,23.320841,true,matched_factor_source
age65,bridge_safe_2025_geography,31042,Zuienkerke,Zuienkerke,26.391518,true,matched_factor_source
age65,bridge_safe_2025_geography,31043,Knokke-Heist,Knokke-Heist,39.455275,true,matched_factor_source
age65,bridge_safe_2025_geography,32003,Diksmuide,Dixmude,23.490165,true,matched_factor_source
age65,bridge_safe_2025_geography,32006,Houthulst,Houthulst,19.605425,true,matched_factor_source
age65,bridge_safe_2025_geography,32010,Koekelare,Koekelare,24.251632,true,matched_factor_source
age65,bridge_safe_2025_geography,32011,Kortemark,Kortemark,23.127484,true,matched_factor_source
age65,bridge_safe_2025_geography,32030,Lo-Reninge,Lo-Reninge,22.052263,true,matched_factor_source
age65,bridge_safe_2025_geography,33011,Ieper,Ypres,25.156474,true,matched_factor_source
age65,bridge_safe_2025_geography,33016,Mesen,Messines,18.258427,true,matched_factor_source
age65,bridge_safe_2025_geography,33021,Poperinge,Poperinge,25.233786,true,matched_factor_source
